Col1,Col2,Value,CL1,CL2,CL3,CL4,,,,Value
Identify malignancy,Identify thing,1,,,,,,,,
Detect stress,Detect condition,1,,,,,,,,
Estimate yield,Estimate outcome,1,,,,,,,,
Estimate growth,Estimate action,1,,,,,,,,
Identify source of stress,Identify thing,1,,,,,,,,
Rate health,Rate characteristics,1,,,,,,,,
Recommend schedule,Recommend strategy,1,,,,,,,,
Rate products,Rate things,1,,,,,,,,
Recommend products,Recommend things,1,,,,,,,,
Detect sequential pattern,Detect thing,1,,,,,,,,
Identify student need,Identify need,1,,,,,,,,
Rate competency,Rate ability,1,,,,,,,,
Recommend material,Recommend strategy,1,,,,,,,,
Estimate costs,Estimate impact,1,,,,,,,,
Estimate duration,Estimate impact,1,,,,,,,,
Forecast breakdown,Forecast event,1,,,,,,,,
Predict upcoming event,Predict event,1,,,,,,,,
Recommend schedule,Recommend strategy,1,,,,,,,,
Identify words,Identify thing,1,,,,,,,,
Predict intention,Predict action,1,,,,,,,,
Recommend words,Recommend action,1,,,,,,,,
Identify emotion/intention,Identify intention,1,,,,,,,,
Identify topics,Identify thing,1,,,,,,,,
Rate topics,Rate thing,1,,,,,,,,
Recommend changes,Recommend strategy,1,,,,,,,,
Detect handwriting,Detect thing,1,,,,,,,,
Detect information,Detect condition,1,,,,,,,,
Identify handwriting,Identify thing,1,,,,,,,,
Identify information,Identify thing,1,,,,,,,,
Identify problems,Identify range,1,,,,,,,,
Identify popular travel,Identify event,1,,,,,,,,
Recommend prices,Recommend strategy,1,,,,,,,,
Forecast trends,Forecast event,1,,,,,,,,
Identify optimal time,Identify event,1,,,,,,,,
Predict best case scenario,Predict thing,1,,,,,,,,
Rate factors,Rate characteristics,1,,,,,,,,
Detect person,Detect thing,1,,,,,,,,
Detect query,Detect thing,1,,,,,,,,
Compose text response,Compose response,1,,,,,,,,
Identify response,Identify action,1,,,,,,,,
Identify person,Identify thing,1,,,,,,,,
Identify location of interest,Identify location,1,,,,,,,,
Identify type,Identify thing,1,,,,,,,,
Detect sequential pattern,Detect thing,1,,,,,,,,
Compose text,Compose thing,1,,,,,,,,
Detect person,Detect thing,1,,,,,,,,
Identify person,Identify thing,1,,,,,,,,
Identify emotion/intention,Identify intention,1,,,,,,,,
Identify problems,Identify range,1,,,,,,,,
Identify problems,Identify range,1,,,,,,,,
Identify problems,Identify range,1,,,,,,,,
Compare actions,Compare,1,,,,,,,,
Detect event,Detect,1,,,,,,,,
Detect thing,Detect,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Recommend strategy,Recommend,1,,,,,,,,
Detect thing,Detect,1,,,,,,,,
Detect action,Detect,1,,,,,,,,
Detect thing,Detect,1,,,,,,,,
Identify location,Identify,1,,,,,,,,
Identify action,Identify,1,,,,,,,,
Rate range,Rate,1,,,,,,,,
Estimate event,Estimate,1,,,,,,,,
Forecast event,Forecast,1,,,,,,,,
Predict location,Predict,1,,,,,,,,
Recommend action,Recommend,1,,,,,,,,
Compare things,Compare,1,,,,,,,,
Detect thing,Detect,1,,,,,,,,
Detect thing,Detect,1,,,,,,,,
Detect thing,Detect,1,,,,,,,,
Detect thing,Detect,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Compare things,Compare,1,,,,,,,,
Detect thing,Detect,1,,,,,,,,
Detect thing,Detect,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Rate things,Rate,1,,,,,,,,
Detect condition,Detect,1,,,,,,,,
Identify cause,Identify,1,,,,,,,,
Identify location,Identify,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Discover action,Discover,1,,,,,,,,
Estimate range,Estimate,1,,,,,,,,
Forecast outcome,Forecast,1,,,,,,,,
Predict action,Predict,1,,,,,,,,
Predict action,Predict,1,,,,,,,,
Predict action,Predict,1,,,,,,,,
Predict thing,Predict,1,,,,,,,,
Rate outcome,Rate,1,,,,,,,,
Forecast event,Forecast,1,,,,,,,,
Monitor action,Monitor,1,,,,,,,,
Predict event,Predict,1,,,,,,,,
Recommend strategy,Recommend,1,,,,,,,,
Compare things,Compare,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Monitor event,Monitor,1,,,,,,,,
Rate action,Rate,1,,,,,,,,
Recommend feedback,Recommend,1,,,,,,,,
Recommend feedback,Recommend,1,,,,,,,,
Detect action,Detect,1,,,,,,,,
Discover events,Discover,1,,,,,,,,
Forecast impact,Forecast,1,,,,,,,,
Compose response,Compose,1,,,,,,,,
Identify action,Identify,1,,,,,,,,
Recommend strategy,Recommend,1,,,,,,,,
Detect anomaly,Detect,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Detect condition,Detect,1,,,,,,,,
Estimate outcome,Estimate,1,,,,,,,,
Estimate action,Estimate,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Rate characteristics,Rate,1,,,,,,,,
Recommend strategy,Recommend,1,,,,,,,,
Rate things,Rate,1,,,,,,,,
Recommend things,Recommend,1,,,,,,,,
Detect thing,Detect,1,,,,,,,,
Identify need,Identify,1,,,,,,,,
Rate ability,Rate,1,,,,,,,,
Recommend strategy,Recommend,1,,,,,,,,
Estimate impact,Estimate,1,,,,,,,,
Estimate impact,Estimate,1,,,,,,,,
Forecast event,Forecast,1,,,,,,,,
Predict event,Predict,1,,,,,,,,
Recommend strategy,Recommend,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Predict action,Predict,1,,,,,,,,
Recommend action,Recommend,1,,,,,,,,
Identify intention,Identify,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Rate thing,Rate,1,,,,,,,,
Recommend strategy,Recommend,1,,,,,,,,
Detect thing,Detect,1,,,,,,,,
Detect condition,Detect,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Identify range,Identify,1,,,,,,,,
Identify event,Identify,1,,,,,,,,
Recommend strategy,Recommend,1,,,,,,,,
Forecast event,Forecast,1,,,,,,,,
Identify event,Identify,1,,,,,,,,
Predict thing,Predict,1,,,,,,,,
Rate characteristics,Rate,1,,,,,,,,
Detect thing,Detect,1,,,,,,,,
Detect thing,Detect,1,,,,,,,,
Compose response,Compose,1,,,,,,,,
Identify action,Identify,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Identify location,Identify,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Detect thing,Detect,1,,,,,,,,
Compose thing,Compose,1,,,,,,,,
Detect thing,Detect,1,,,,,,,,
Identify thing,Identify,1,,,,,,,,
Identify intention,Identify,1,,,,,,,,
Identify range,Identify,1,,,,,,,,
Identify range,Identify,1,,,,,,,,
Identify range,Identify,1,,,,,,,,
